Cohort Year,Cohort Category,Demographic,# Total Cohort,# Total Grads,% of cohort Total Grads,# of cohort Total Grads,% of cohort Total Regents,% of grads  Total Regents,# of grads  Total Regents,% of cohort  Advanced Regents,% of grads  Advanced Regents,# of grads  Advanced Regents,% of cohort  Regents w/o Advanced,% of grads  Regents w/o Advanced,# of grads  Regents w/o Advanced,% of cohort Local,% of grads Local,# Still Enrolled,% of cohort Still Enrolled,# Dropped Out,% of cohort Dropped Out
2007,4 Year  June,Male,"40,519","22,511",55.6,"19,458",48,86.4,"5,893",14.5,26.2,"13,565",33.5,60.3,"3,053",7.5,13.6,"10,785",26.6,"5,678",14
2007,4 Year August,Male,"40,519","24,466",60.4,"20,636",50.9,84.3,"5,960",14.7,24.4,"14,676",36.2,60,"3,830",9.5,15.7,"8,906",22,"5,614",13.9
2007,5 Year  June,Male,"40,166","26,267",65.4,"21,476",53.5,81.8,"5,909",14.7,22.5,"15,567",38.8,59.3,"4,791",11.9,18.2,"3,346",8.3,"8,425",21
2007,5 Year August,Male,"40,166","26,701",66.5,"21,691",54,81.2,"5,910",14.7,22.1,"15,781",39.3,59.1,"5,010",12.5,18.8,"3,017",7.5,"8,327",20.7
2007,6 Year,Male,"40,211","27,588",68.6,"22,231",55.3,80.6,"5,980",14.9,21.7,"16,251",40.4,58.9,"5,357",13.3,19.4,"1,748",4.3,"8,647",21.5
2008,4 Year  June,Male,"40,968","22,758",55.6,"21,515",52.5,94.5,"5,997",14.6,26.4,"15,518",37.9,68.2,"1,243",3,5.5,"11,595",28.3,"5,345",13
2008,4 Year August,Male,"40,968","24,534",59.9,"23,044",56.2,93.9,"6,052",14.8,24.7,"16,992",41.5,69.3,"1,490",3.6,6.1,"9,862",24.1,"5,326",13
2008,5 Year  June,Male,"40,719","26,461",65,"24,631",60.5,93.1,"6,082",14.9,23,"18,549",45.6,70.1,"1,830",4.5,6.9,"4,980",12.2,"7,281",17.9
2008,5 Year August,Male,"40,719","26,938",66.2,"25,024",61.5,92.9,"6,089",15,22.6,"18,935",46.5,70.3,"1,914",4.7,7.1,"4,543",11.2,"7,252",17.8
2008,6 Year,Male,"40,612","27,810",68.5,"25,652",63.2,92.2,"6,091",15,21.9,"19,561",48.2,70.3,"2,158",5.3,7.8,"2,563",6.3,"7,806",19.2
2009,4 Year  June,Male,"40,139","22,565",56.2,"21,302",53.1,94.4,"6,034",15,26.7,"15,268",38,67.7,"1,263",3.1,5.6,"11,552",28.8,"4,845",12.1
2009,4 Year August,Male,"40,139","24,573",61.2,"23,046",57.4,93.8,"6,104",15.2,24.8,"16,942",42.2,68.9,"1,527",3.8,6.2,"9,575",23.9,"4,843",12.1
2009,5 Year  June,Male,"39,880","26,740",67.1,"24,783",62.1,92.7,"6,135",15.4,22.9,"18,648",46.8,69.7,"1,957",4.9,7.3,"4,926",12.4,"6,735",16.9
2009,5 Year August,Male,"39,880","27,224",68.3,"25,177",63.1,92.5,"6,138",15.4,22.5,"19,039",47.7,69.9,"2,047",5.1,7.5,"4,466",11.2,"6,719",16.8
2009,6 Year,Male,"39,842","28,173",70.7,"25,874",64.9,91.8,"6,140",15.4,21.8,"19,734",49.5,70,"2,299",5.8,8.2,"2,657",6.7,"7,406",18.6
2010,4 Year  June,Male,"38,680","23,061",59.6,"21,471",55.5,93.1,"6,051",15.6,26.2,"15,420",39.9,66.9,"1,590",4.1,6.9,"10,575",27.3,"4,133",10.7
2010,4 Year August,Male,"38,680","24,845",64.2,"22,983",59.4,92.5,"6,134",15.9,24.7,"16,849",43.6,67.8,"1,862",4.8,7.5,"8,799",22.7,"4,131",10.7
2010,5 Year  June,Male,"38,495","26,876",69.8,"24,537",63.7,91.3,"6,158",16,22.9,"18,379",47.7,68.4,"2,339",6.1,8.7,"4,364",11.3,"5,963",15.5
2010,5 Year August,Male,"38,495","27,231",70.7,"24,810",64.4,91.1,"6,160",16,22.6,"18,650",48.4,68.5,"2,421",6.3,8.9,"4,021",10.4,"5,953",15.5
2011,4 Year  June,Male,"38,220","23,581",61.7,"22,165",58,94,"6,285",16.4,26.7,"15,880",41.5,67.3,"1,416",3.7,6,"9,805",25.7,"3,926",10.3
2011,4 Year August,Male,"38,220","24,973",65.3,"23,299",61,93.3,"6,336",16.6,25.4,"16,963",44.4,67.9,"1,674",4.4,6.7,"8,423",22,"3,924",10.3
